,file,class,method,Predicted_Values,wmc,loc,maxNestedBlocksQty,Predicted_Metrics,Euclidean_dist
0,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous2,execute/0,none,1,3,0,[1. 3. 0.],[0.]
1,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous3,execute/0,none,1,3,0,[1. 3. 0.],[0.]
2,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous1,execute/0,none,1,3,0,[1. 3. 0.],[0.]
3,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,activate/0,none,1,4,0,[1. 4. 0.],[0.]
4,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,deactivate/0,none,2,8,1,[2. 8. 1.],[0.]
5,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,"mouseDown/3[java.awt.event.MouseEvent,int,int]",none,3,13,1,[ 3. 13.  1.],[0.]
6,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,createUndoActivity/0,none,1,3,0,[1. 3. 0.],[0.]
7,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,"mouseDrag/3[java.awt.event.MouseEvent,int,int]",none,5,12,2,[ 5. 12.  2.],[0.]
8,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,"DragTracker/2[CH.ifa.draw.framework.DrawingEditor,CH.ifa.draw.framework.Figure]",none,1,4,0,[1. 4. 0.],[0.]
9,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous4,execute/0,none,1,3,0,[1. 3. 0.],[0.]
10,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,getAlignment/0,none,1,3,0,[1. 3. 0.],[0.]
11,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,"AlignCommand/2[CH.ifa.draw.standard.AlignCommand.Alignment,CH.ifa.draw.framework.DrawingEditor]",none,1,4,0,[1. 4. 0.],[0.]
12,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,createUndoActivity/0,none,1,3,0,[1. 3. 0.],[0.]
13,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,setAlignment/1[CH.ifa.draw.standard.AlignCommand.Alignment],none,1,3,0,[1. 3. 0.],[0.]
14,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,isExecutableWithView/0,none,2,3,0,[2. 3. 0.],[0.]
15,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,execute/0,none,1,7,0,[1. 7. 0.],[0.]
16,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,redo/0,none,2,7,1,[2. 7. 1.],[0.]
17,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,undo/0,none,2,7,1,[2. 7. 1.],[0.]
18,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,swapConnectors/0,none,2,8,1,[2. 8. 1.],[0.]
19,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,getOldConnector/0,none,1,3,0,[1. 3. 0.],[0.]
20,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,UndoActivity/1[CH.ifa.draw.framework.DrawingView],none,1,5,0,[1. 5. 0.],[0.]
21,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,setOldConnector/1[CH.ifa.draw.framework.Connector],none,1,3,0,[1. 3. 0.],[0.]
22,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,replaceConnector/1[CH.ifa.draw.framework.ConnectionFigure],none,1,1,0,[1. 2. 0.],[1.]
23,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureInvalidated/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
24,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureRequestRemove/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
25,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureRequestUpdate/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
26,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureChanged/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
27,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureRemoved/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
28,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,createTools/1[javax.swing.JToolBar],none,1,11,0,[ 1. 11.  0.],[0.]
29,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,main/1[java.lang.String[]],none,1,4,0,[1. 4. 0.],[0.]
30,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,PertApplication/0,none,1,3,0,[1. 3. 0.],[0.]
31,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$ChildMenuItem,ChildMenuItem/1[javax.swing.JInternalFrame],none,1,4,0,[1. 4. 0.],[0.]
32,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$ChildMenuItem,getFrame/0,none,1,3,0,[1. 3. 0.],[0.]
33,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,action/1[CH.ifa.draw.framework.Figure],none,1,8,0,[1. 8. 0.],[0.]
34,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,createUndoActivity/0,none,1,3,0,[1. 3. 0.],[0.]
35,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,BorderTool/1[CH.ifa.draw.framework.DrawingEditor],none,1,3,0,[1. 3. 0.],[0.]
36,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ColorMap.java,CH.ifa.draw.util.ColorEntry,"ColorEntry/2[java.lang.String,java.awt.Color]",none,1,4,0,[1. 4. 0.],[0.]
37,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,isRedoable/0,none,2,8,1,[2. 8. 1.],[0.]
38,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,getUndoSize/0,none,1,3,0,[1. 3. 0.],[0.]
39,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,peekRedo/0,none,2,8,1,[2. 8. 1.],[0.]
40,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,UndoManager/1[int],none,1,5,0,[1. 5. 0.],[0.]
41,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,peekUndo/0,none,2,8,1,[2. 8. 1.],[0.]
42,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,getRedoSize/0,none,1,3,0,[1. 3. 0.],[0.]
43,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,isUndoable/0,none,2,8,1,[2. 8. 1.],[0.]
44,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,clearUndos/0,none,1,3,0,[1. 3. 0.],[0.]
45,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,clearRedos/0,none,1,3,0,[1. 3. 0.],[0.]
46,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,popUndo/0,none,1,5,0,[1. 5. 0.],[0.]
47,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,pushUndo/1[CH.ifa.draw.util.Undoable],none,3,11,2,[ 3. 11.  2.],[0.]
48,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,popRedo/0,none,1,5,0,[1. 5. 0.],[0.]
49,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,UndoManager/0,none,1,3,0,[1. 3. 0.],[0.]
50,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,clearStack/1[java.util.Vector],none,1,3,0,[1. 3. 0.],[0.]
51,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,pushRedo/1[CH.ifa.draw.util.Undoable],none,5,13,2,[ 5. 13.  2.],[0.]
52,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,close/0,none,1,3,0,[1. 3. 0.],[0.]
53,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,decrementIndent/0,none,2,4,1,[2. 4. 1.],[0.]
54,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,mapped/1[CH.ifa.draw.util.Storable],none,1,3,0,[1. 3. 0.],[0.]
55,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,writeDouble/1[double],none,1,4,0,[1. 4. 0.],[0.]
56,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,map/1[CH.ifa.draw.util.Storable],none,2,5,1,[2. 5. 1.],[0.]
57,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,StorableOutput/1[java.io.OutputStream],none,1,5,0,[1. 5. 0.],[0.]
58,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,writeStorable/1[CH.ifa.draw.util.Storable],none,3,19,1,[ 3. 19.  1.],[0.]
59,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,startNewLine/0,none,2,6,1,[2. 6. 1.],[0.]
60,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,writeBoolean/1[boolean],none,2,9,1,[2. 9. 1.],[0.]
61,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,writeColor/1[java.awt.Color],none,1,5,0,[1. 5. 0.],[0.]
62,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,incrementIndent/0,none,1,3,0,[1. 3. 0.],[0.]
63,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,writeInt/1[int],none,1,4,0,[1. 4. 0.],[0.]
64,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,space/0,none,1,3,0,[1. 3. 0.],[0.]
65,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,writeString/1[java.lang.String],none,6,28,2,[ 6. 28.  2.],[0.]
66,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,writeRef/1[CH.ifa.draw.util.Storable],none,1,7,0,[1. 7. 0.],[0.]
67,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopDiamondConnector.java,CH.ifa.draw.contrib.ChopDiamondConnector,ChopDiamondConnector/0,none,1,2,0,[1. 2. 0.],[0.]
68,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopDiamondConnector.java,CH.ifa.draw.contrib.ChopDiamondConnector,"chop/2[CH.ifa.draw.framework.Figure,java.awt.Point]",minor,13,34,2,[13. 34.  1.],[1.]
69,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopDiamondConnector.java,CH.ifa.draw.contrib.ChopDiamondConnector,ChopDiamondConnector/1[CH.ifa.draw.framework.Figure],none,1,3,0,[1. 3. 0.],[0.]
70,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ReverseVectorEnumerator.java,CH.ifa.draw.util.ReverseVectorEnumerator,nextElement/0,none,2,6,1,[2. 6. 1.],[0.]
71,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ReverseVectorEnumerator.java,CH.ifa.draw.util.ReverseVectorEnumerator,ReverseVectorEnumerator/1[java.util.Vector],none,1,4,0,[1. 4. 0.],[0.]
72,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ReverseVectorEnumerator.java,CH.ifa.draw.util.ReverseVectorEnumerator,hasMoreElements/0,none,2,3,0,[2. 3. 0.],[0.]
73,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopPolygonConnector.java,CH.ifa.draw.contrib.ChopPolygonConnector,ChopPolygonConnector/1[CH.ifa.draw.framework.Figure],none,1,3,0,[1. 3. 0.],[0.]
74,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopPolygonConnector.java,CH.ifa.draw.contrib.ChopPolygonConnector,"chop/2[CH.ifa.draw.framework.Figure,java.awt.Point]",none,1,3,0,[1. 3. 0.],[0.]
75,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopPolygonConnector.java,CH.ifa.draw.contrib.ChopPolygonConnector,ChopPolygonConnector/0,none,1,2,0,[1. 2. 0.],[0.]
76,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\GroupHandle.java,CH.ifa.draw.figures.GroupHandle,"GroupHandle/2[CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Locator]",none,1,3,0,[1. 3. 0.],[0.]
77,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\GroupHandle.java,CH.ifa.draw.figures.GroupHandle,draw/1[java.awt.Graphics],none,1,8,0,[1. 8. 0.],[0.]
78,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,view/0,none,1,3,0,[1. 3. 0.],[0.]
79,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,removeViewChangeListener/1[CH.ifa.draw.framework.ViewChangeListener],none,1,2,0,[1. 2. 0.],[0.]
80,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,figureSelectionChanged/1[CH.ifa.draw.framework.DrawingView],none,1,2,0,[1. 2. 0.],[0.]
81,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,setUndoManager/1[CH.ifa.draw.util.UndoManager],none,1,3,0,[1. 3. 0.],[0.]
82,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,tool/0,none,1,3,0,[1. 3. 0.],[0.]
83,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,toolDone/0,none,1,2,0,[1. 2. 0.],[0.]
84,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,addViewChangeListener/1[CH.ifa.draw.framework.ViewChangeListener],none,1,2,0,[1. 2. 0.],[0.]
85,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,drawing/0,none,1,3,0,[1. 3. 0.],[0.]
86,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,init/0,minor,2,16,1,[ 2. 16.  1.],[0.]
87,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,loadDrawing/1[java.lang.String],none,2,13,1,[ 2. 13.  1.],[0.]
88,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,views/0,none,1,3,0,[1. 3. 0.],[0.]
89,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,getUndoManager/0,none,1,3,0,[1. 3. 0.],[0.]
90,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,FigureAttributes/0,none,1,3,0,[1. 3. 0.],[0.]
91,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,readColor/1[CH.ifa.draw.util.StorableInput],none,1,3,0,[1. 3. 0.],[0.]
92,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,hasDefined/1[java.lang.String],none,1,3,0,[1. 3. 0.],[0.]
93,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,get/1[java.lang.String],none,1,3,0,[1. 3. 0.],[0.]
94,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,read/1[CH.ifa.draw.util.StorableInput],minor,10,35,2,[11. 35.  1.],[1.41421356]
95,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,"writeColor/3[CH.ifa.draw.util.StorableOutput,java.lang.String,java.awt.Color]",none,2,8,1,[2. 8. 1.],[0.]
96,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,"set/2[java.lang.String,java.lang.Object]",none,2,8,1,[2. 8. 1.],[0.]
97,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,clone/0,none,2,10,1,[ 2. 10.  1.],[0.]
98,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,write/1[CH.ifa.draw.util.StorableOutput],major,9,41,3,[10. 41.  3.],[1.]
99,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertDependency.java,CH.ifa.draw.samples.pert.PertDependency,"canConnect/2[CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Figure]",none,1,3,0,[1. 3. 0.],[0.]
100,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertDependency.java,CH.ifa.draw.samples.pert.PertDependency,handles/0,none,1,5,0,[1. 5. 0.],[0.]
101,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertDependency.java,CH.ifa.draw.samples.pert.PertDependency,PertDependency/0,none,1,4,0,[1. 4. 0.],[0.]
102,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertDependency.java,CH.ifa.draw.samples.pert.PertDependency,"handleConnect/2[CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Figure]",none,2,12,1,[ 2. 12.  1.],[0.]
103,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertDependency.java,CH.ifa.draw.samples.pert.PertDependency,"handleDisconnect/2[CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Figure]",none,3,11,1,[ 3. 11.  1.],[0.]
104,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.ResizeHandle$UndoActivity,redo/0,none,2,6,1,[2. 6. 1.],[0.]
105,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.ResizeHandle$UndoActivity,resetDisplayBox/0,none,2,11,1,[ 2. 11.  1.],[0.]
106,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.ResizeHandle$UndoActivity,UndoActivity/1[CH.ifa.draw.framework.DrawingView],none,1,5,0,[1. 5. 0.],[0.]
107,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.ResizeHandle$UndoActivity,undo/0,none,2,6,1,[2. 6. 1.],[0.]
