,file,class,Predicted_Values,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
123,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\RoundRectangleFigure.java,CH.ifa.draw.figures.RoundRectangleFigure,none,14,0.42857143,14,6,70,[16.  0. 15.  3. 71.],[3.89662334]
124,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\net\NetApp.java,CH.ifa.draw.samples.net.NetApp,none,3,0.0,3,0,18,[ 4.  0.  3.  0. 18.],[1.]
125,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApplet.java,CH.ifa.draw.samples.javadraw.JavaDrawApplet$Anonymous1,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
126,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SelectAreaTracker.java,CH.ifa.draw.standard.SelectAreaTracker,none,13,0.0,8,1,56,[14.  0.  8.  1. 58.],[2.23606798]
127,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\PolygonHandle.java,CH.ifa.draw.contrib.PolygonHandle,none,9,0.13333334,7,2,50,[10.  0.  8.  2. 49.],[1.73717523]
128,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoableTool.java,CH.ifa.draw.util.UndoableTool,minor,33,0.0024630541,30,2,101,[ 35.   0.  33.   1. 100.],[3.87298413]
129,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\DragNDropTool.java,CH.ifa.draw.contrib.DragNDropTool$MyTransferable,none,6,0.16666667,4,1,17,[ 6.  0.  4.  0. 17.],[1.01379376]
130,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\PolygonScaleHandle.java,CH.ifa.draw.contrib.PolygonScaleHandle$UndoActivity,none,9,0.06666667,6,1,39,[10.  0.  6.  2. 39.],[1.41578404]
131,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\QuadTree.java,CH.ifa.draw.standard.QuadTree,none,43,0.4722222,15,8,171,[ 43.   0.  14.   3. 170.],[5.21756589]
132,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ConnectedTextTool.java,CH.ifa.draw.figures.ConnectedTextTool,none,8,0.16666667,4,1,73,[10.  0.  3.  0. 74.],[2.65099562]
133,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\PasteCommand.java,CH.ifa.draw.standard.PasteCommand$UndoActivity,none,6,0.0,3,0,26,[ 6.  0.  4.  0. 25.],[1.41421356]
134,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\RadiusHandle.java,CH.ifa.draw.figures.RadiusHandle$UndoActivity,none,9,0.06666667,6,1,37,[10.  0.  6.  1. 37.],[1.00221976]
135,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\SerializationStorageFormat.java,CH.ifa.draw.util.SerializationStorageFormat,none,6,0.0,5,0,28,[ 5.  0.  4.  1. 28.],[1.73205081]
136,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ActionTool.java,CH.ifa.draw.standard.ActionTool,none,5,0.0,4,0,16,[ 5.  0.  4.  0. 16.],[0.]
137,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\applet\DrawApplet.java,CH.ifa.draw.applet.SleeperThread,none,4,1.0,2,1,17,[ 3.  0.  2.  1. 17.],[1.41421356]
138,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ColorMap.java,CH.ifa.draw.util.ColorMap,none,14,0.4,6,1,37,[12.  0.  6.  1. 37.],[2.03960781]
139,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\InsertImageCommand.java,CH.ifa.draw.figures.InsertImageCommand$UndoActivity,none,10,0.13333334,6,2,40,[10.  0.  6.  2. 39.],[1.00884973]
140,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\Handle.java,CH.ifa.draw.framework.Handle,none,13,0.0,13,1,16,[14.  0. 14.  0. 14.],[2.64575131]
141,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\MDI_DrawApplication.java,CH.ifa.draw.contrib.MDI_DrawApplication,none,41,0.03988604,27,3,152,[ 39.   0.  23.   1. 153.],[5.00015909]
142,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderDecorator.java,CH.ifa.draw.figures.BorderDecorator,none,10,0.027777778,9,5,54,[11.  0.  7.  6. 56.],[3.16239966]
143,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ElbowConnection.java,CH.ifa.draw.figures.ElbowTextLocator,minor,1,,1,0,7,[2. 0. 2. 0. 7.],[1.41421356]
144,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\GroupCommand.java,CH.ifa.draw.figures.GroupCommand$UndoActivity,none,8,0.0,4,0,45,[ 8.  0.  5.  1. 45.],[1.41421356]
145,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker$UndoActivity,none,11,0.071428575,8,2,42,[10.  0.  8.  2. 40.],[2.23720854]
146,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\NullDrawingView.java,CH.ifa.draw.standard.NullDrawingView,none,54,0.003628447,53,6,153,[ 54.   0.  47.   3. 169.],[17.34935195]
147,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\VersionManagement.java,CH.ifa.draw.util.VersionManagement,none,19,0.04761905,7,3,97,[17.  0.  6.  1. 96.],[3.16263617]
148,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\nothing\NothingApp.java,CH.ifa.draw.samples.nothing.NothingApp,none,3,0.0,3,0,28,[ 2.  0.  2.  0. 28.],[1.41421356]
149,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DeleteCommand.java,CH.ifa.draw.standard.DeleteCommand,minor,5,0.0,4,0,43,[ 6. -1.  3.  0. 42.],[2.]
150,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ChopEllipseConnector.java,CH.ifa.draw.figures.ChopEllipseConnector,none,3,0.0,3,1,13,[ 3.  0.  3.  1. 13.],[0.]
151,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertFigure.java,CH.ifa.draw.samples.pert.PertFigure,none,47,0.1,32,6,222,[ 51.   0.  27.  10. 220.],[7.81088983]
152,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AbstractLocator.java,CH.ifa.draw.standard.AbstractLocator,none,5,0.0,4,1,17,[ 5.  0.  3.  1. 17.],[1.]
153,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\SendToBackCommand.java,CH.ifa.draw.standard.SendToBackCommand$UndoActivity,none,12,0.14285715,7,1,49,[13.  0.  8.  1. 50.],[1.73793215]
154,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\Undoable.java,CH.ifa.draw.util.Undoable,none,11,0.0,11,0,13,[12.  0. 12.  0. 12.],[1.73205081]
155,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\CustomToolBar.java,CH.ifa.draw.contrib.CustomToolBar,none,10,0.6666667,6,4,45,[ 9.  0.  6.  3. 45.],[1.56347193]
156,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\VersionControlStrategy.java,CH.ifa.draw.util.VersionControlStrategy,none,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
